RATE,Role,Seniority,Location,Years,Company,Gender,Union
149000.00,Story Artist,Journeyman,Los Angeles,3,WDAS,Male,TAG 839
140000.00,Story Artist,Journeyman,Los Angeles,11,WDAS,Female,TAG 839
72k CAD,Story Artist,Junior,Toronto,2,House of Cool,,
110000.00,Story Artist,Mid-Level,Bay Area,3,Disney subsidiary,Non Binary,No
"US$3,500",Story artist,Senior,California,10,,Male,No
$2450/weel US,Story artist,journeyman,so cal,40+,DW TV,Male,yes - 839
$100k,Story Revisionist, ,"Burbank, CA",1 year,"WBA, WDA",Female,Animation Guild
120000.00,storyboard,,LA,2,,Female,
$2500/week - usd,Storyboard -TV,Journeyman,LA,6,,Female,839.00
300000 yen per month,Storyboard and motions for game,Mid,Tokyo Japan,4,Game company,Female,Unions don’t exist in Japan
$93600 AUD (before tax),Storyboard Artist,Senior,Australia,3,,Female,no
1600 a week (82k) CAD,Storyboard Artist,Junior? Mid? ,Vancouver BC,1 in boards,,Female,No
1650 CND/WK,Storyboard Artist,Senior,Vancouver,4,DHX,Female,NO
$60kAUD annually,Storyboard Artist,Junior-Mid,Brisbane Australia,3,,Female,No we don't have one here
$1600 CAD/week,Storyboard artist,Mid-career ,Toronto,5,,Female,
2500 USD weekly,Storyboard Artist,Mid,Los Angeles ,6,,Female,TAG 839
1850 CAD,Storyboard Artist,Intermediate,Toronto,5,Atomic (Vancouver-Remote),Female,No
2400 US,Storyboard Artist,Intermediate,Toronto (Remote),5,A large American Studio,Female,
"$2,550 USD/Week; $132,600 USD/Year",Storyboard Artist,Experienced?,"Glendale, CA",11,Nickelodeon Animation Studios,Male,Animation Guild Local 839
$1650/wk CAD ,Storyboard Artist,Junior,Los Angeles,>1,,Female,No
$59.34 hourly USD ($2373.60 USD Weekly pre-tax),Storyboard Artist,"Not junior, nor senior. Been working as a union storyboard artist for about 11 months.","Burbank, CA, USA",About 1.5 years of union storyboarding experiences (including storyboard revisionist experiences),Nickelodeon,Male,The Animation Guild 839
38000 SGD,Storyboard Artist,Mid,Singapore,5,,Male,No
"130,000 usd annually",Storyboard artist,Mid-level,Los Angeles,5,Nickelodeon,Male,Yes IATSE local 839
81600.00,Storyboard Artist,Experienced,Vancouver ,2,,Female,Nope
1700 CAD per week,Storyboard Artist,Senior,Vancouver,8,,Female,no
1500CAD/week,Storyboard Artist,Mid,Vancouver,5,Atomic Cartoons,Female,no
$2700 USD/week ,Storyboard Artist,N/a,Burbank,6,Nickelodeon,Female,Tag 836
1600€ per board,Storyboard artist,mid,Italy,1,Maga animation,Female,
3000€ per board,Storyboard artist,mid,Ireland,2,,Female,
"€44,000 per year",Storyboard Artist,Mid,Ireland,5 Years,,Female,N/A
55000 euros annually,Storyboard artist,senior,Belgium,7+,,Male,no
2100 USD biweekly,Storyboard Artist,Junior,USA,2,,Female,No :(
500€/month,Storyboard artist,Junior,Italy,0,,Female,No.
$65/hr 2600/week ,Storyboard Artist,Junior ,Burbank ,6,WB ,Female,yes
"$2,750/week, USD",Storyboard Artist,Journeyman,Los Angeles,9,Dreamworks Feature,Male,"The Animation Guild, Local 839"
£300/day freelance,storyboard artist,senior/lead,London,7,,Female,no
$2640-$2850/wk,Storyboard Artist,Journey,Los Angeles,8,,Female,"Yes, TAG"
"CAD $118,000/year",Storyboard Artist,Senior,Vancouver,10,,Female,No :(
"$1650 weekly / $85,800 yearly CAD",Storyboard Artist,Senior,"Vancouver, BC",6 years,WildBrain Studios ,Female,No
IDR 9000000,Storyboard Artist,Senior,"Jakarta, Indonesia",6 years,,Female,no
Nothing to speak of.,Storyboard Artist,Junior,Ahmedabad,2,,Male,Nope.
$2400/week USD,Storyboard Artist,Mid,Los Angeles,"1 as a Storyboard Artist, 7 as an Animator",,Female,Animation Guild Local 839
2875 USD/week,Storyboard Artist,Senior,Los Angeles,4,,Female,"Yes, TAG 839"
1700 CAD/ week,Storyboard Artist,senior,Victoria/Vancouver,11,Wildbrain,Female,no :'(
2444.80/wk,storyboard artist,Journeyman,Los Angeles,6,ShadowMachine,Female,"yes. IATSE 839, The Animation Guild"
"£40,000",Storyboard Artist,Mid,UK,5 years,,Female,
"5000 euro for a 11 minutes episode ( storyboard, rough pass, clean pass with a pass of revisions after the rough and while doing the clean)",Storyboard artist,Senior,Italy,16,"Being a freelancer, many",Male,No
4500 ? (350$) monthly,Storyboard Artist,Junior,Turkey,9 Month,,Male,No
183 euros/day,Storyboard artist,Junior,Paris,<1 year (first storyboard job),,Female,
1550 CAD per week / $80k CAD per year,Storyboard Artist,Mid,Vancouver BC,2,Wildbrain,Female,No :( not YET
"$52,000 AUD per year",Storyboard Artist,Mid,Australia,2,Pixel Zoo,Other,
6000€ aprox. per episode (11 min),Storyboard Artist,Junior,Europe,2,,Male,
210€/day,Storyboard artist,Senior,Spain,9,,Male,No
2376.00,Storyboard artist ,I don't know ,Burbank ,3,Nickelodeon,Male,Yes
"1,475 /wk CAD",Storyboard artist ,Not a junior but I don’t know! Not a veteran ,Vancouver ,5 years ,,Female,No
$17 000 MXN (around 810 USD),Storyboard artist ,senior,México City,5,,Female,No
$119000 USD,Storyboard Artist - TV,Mid?,Los Angeles,4,Nickelodeon,Female,839.00
$2373/wk ,Storyboard artist for TV ,I think the term is Journey? Not sure - I’m just a board artist! not a director or a lead! Haha,Los Angeles ,6,,Female,Yes - TAG IATSE local 839 
150k USD per year,"Storyboard Artist, feature",Mid,Los Angeles,6,Dreamworks Animation,Female,"Yes, The Animation Guild, Local 839"
$124k USD/year,"Storyboard artist, TV",Journeyman,"Los Angeles, CA",2,,Female,Animation Guild
55k/year AUD,Storyboard Artist/Revisionist ,Mid,Sydney,5,,Female,No
156000.00,Storyboard Director,Director,Los Angeles,11,Nickelodeon,Female,Iatse 839
$69 usd hourly,Storyboard Director,Journeyman,Los Angeles,7,Nickelodeon,Female,839.00
$1000 CAD weekly ,Storyboard Revisionist,Junior ,Toronto ,"5 months as storyboard revisionist, 2 years in industry ",,Female,No
1900 USD /week,Storyboard Revisionist,Sophomore,Los Angeles,7+,,Female,839.00
44.16 per hour,Storyboard Revisionist,NA,Burbank,15 years,Nickelodeon,Female,"Yes, TAG 839"
$45 / hr,Storyboard revisionist,Junior,LA area,1,,Male,Local 839
50 000 CAD,Storyboard Revisionist,N/A,"Toronto, Ontario",1,,Female,No
"$93,600 (45/hr) ",Storyboard Revisionist,Journeyperson,Los Angeles,5+,,Female,Animation Guild
"$1,200/week CAD",Storyboard Revisionist,Junior,"Ottawa, ON, Canada",1,Atomic Cartoons,Female,no
$1000 /wk CAD,Storyboard revisionist,n/a,"British Columbia, Canada",5 years,,Female,
"$1,044 weekly after taxes",Storyboard Revisionist,Junior,"Los Angeles, CA",1,Dreamworks,Female,Yes - TAG
"€ 34,850",Storyboard Revisionist,Mid,Ireland,2+,Brown Bag Films,Male,
"USD $1,866/wk",Storyboard Revisionist,Journey,San Francisco,6,Gaumont Animation,Female,IATSE Local 839
"£22,500",Storyboard Revisionist,Junior,London,1,Brown Bag,Male,nope
$1000 CDN Weekly,Storyboard Revisionist ,Lead ,"Vancouver, Canada",2+ Years,,Female,No
$1050 weekly cad,storyboard revisionist ,junior,Vancouver BC,1 Yr 8 m,,,no
$!400 USD,Storyboard Revisionist ,Junior,NYC,1,,Female,
$1000/week CAD,Storyboard Revisionist ,Junior,Toronto,1,,Female,No
1860 wk,Storyboard Revisionist ,Sr,Los Angeles,10,Dreamworks ,Female,TAG
1200 CAD/ week,storyboard revisionist- TV,Junior,"Vancouver, Canada",6 months,Slaphappy cartoons,,No
1250 Cad,Storyboard Revisions ,I'm a senior revisionist - I don't want to move up in boards because I don't want to deal with that headache.,Toronto,8,,Female,Nope
$2900/wk,Storyboard Supervisor,N/a,Los Angeles,10,Nickelodeon,Male,"Yes, TAG 839"
200€/day,Storyboarder,Mid,France,4 almost 5,,Female,No
0 :(,Student,Student,Spain,1,,,
54k euro / year + intermittent status,sup asset ,Senior ,paris,9,france,Male,nop
$3400 USD weekly,Supervising Director,Senior,Los Angeles,"10+ overall, 7+ in Union",,Female,TAG 839
5800/wk US,Supervising Director / Showrunner,E.P.,Los Angeles,30,,Female,839.00
4800.00,Supervising Director/Co-Producer,Senior,"Burbank, CA",10,Disney TVA,Male,Local 839
$3830 per week.,Supervising Producer,Supervising Producer,Los Angeles,12,Nickelodeon,Male,TAG839
5000.00,supervisor,senior,russia,10,Scandinava,Male,no
"US $  58.721 hr. Weekly 2,642.445",Surfacer,Journeyman 1,Los Angeles,13,,Female,yes
"45,000 euros",Surfacing,Senior,Madrid,9,,Female,
120€ / day ,Surfacing ,Junior,Paris,1,Illumination ,Female,
"40,000 €",Surfacing Artist,Senior,Ireland,2,BrownBagFilms,Male,No
"78,000 CAD",Surfacing Artist,Mid,Vancouver,4 years,,Female,No
£42000 pa,Surfacing Artist,Lead,Brighton,7 years,Blue Zoo,Female,No
$55.62 hourly.  45 hour minimum. ,Surfacing Artist,Senior,Los Angeles,12,Dreamworks,Female,yes
59000 $CAD,Surfacing Artist,Mid,Canada,3,Mikros Animation,,No
"£26,000",Surfacing Artist,Mid,London,"1 in studio, 4 Freelance",Blue Zoo,Male,No
40000$CAD,Surfacing artist ,Junior,Montréal QC Canada,6months,,Female,
£90k,Td,Senior,London,5+,,Male,No
190€ / day,TD rigging,junior,France (freelance),0,Cinesite,Female,no
35000.00,tech anim,,,1,,,
"60,000 USD",Tech Animator aka. Rigging,Associate,TX,3.5 years,Game Industry,Female,No
86k USD yearly,Tech Animator/ VFX Artist for games,Mid-Senior,Country in South America,4.5 yrs,,Female,No
30000.00,Tech Artist,Mid,London,3,Framestore,Male,No
@87000 CAD,Tech Project Manager,Jr-Mid,Canada,2,,Female,No
52k CAD/ year,Technical Animator,Intermediate ,Vancouver,2,ICON,Male,No
"$110,200 USD",Technical Animator,Mid,Los Angeles,7,Electronic Arts,Male,No
56.63 USD an hour,Technical Animator,Senior,Los Angeles,10,,Male,"Yes, Animation Guild - TAG 839"
$44000cad/yr,Technical Animator,Mid,Vancouver ,2,,Female,
"$21,410.00 AUD Annually ",Technical Animator,Junior ,Australia,6 months ,Pixel Zoo Animation Studios,Female,No
"$21,410.00 AUD Annually ",Technical Animator,Junior ,Australia,6 months ,Pixel Zoo Animation Studios,Female,No
"41,600 AUD ($20/hr)",Technical Animator,Junior,Australia,1,Pixel Zoo Animation Studios,Male,No
32000SEK/month,Technical Animator,Experienced,"Stockholm, Sweden",5,Avalanche Studios Group,Male,Unionen
$98000 USD per year ,Technical Animator (Rigging),Mid,Los Angeles,5,Electronic Arts,Female,No
"£32,000",Technical Artist,Lead,Wales,5,,Male,No
34000.00,Technical Artist,Mid,England,2,,Male,
CRC 750000,Technical Artist,Mid,Costa Rica,4,,Female,nope
INR 6Lacs yearly ,Technical Artist (RND),Junior to mid,Bangalore ,3,,Female,N
"$66,000 usd",Technical artist/ Tech animator ,Junior ,Massachusetts ,<1 ,,Female,
$58/hr USD,Technical Director,regular,Los Angeles,13,Nickelodeon Animation,Female,TAG 839
$57 per hour,Technical Director,Senior,"Burbank, CA",6,Nickelodeon,Male,"Yes, local 839"
$39.6/hr USD,Technical Director,Entry-level,"Glendale, CA",< 1,Dreamworks Animation,Female,TAG 839
$75 USD/hour,Technical Supervisor/Pipeline,Senior,Los Angeles,8,,Male,TAG 839
"81,000 CAD",Texture & Look Dev Artist,Mid,Vancouver,4,Scanline VFX,Other,No
75000 Cad,Texture + lookdev artist,Mid,Montreal working remotely in bc,9,,Female,
55 000 CAD,Texture Artist,Mid,Montreal,4 months,,Male,
CAD 125000 without OT,Texture Artist,Senior,Montreal ,10+,This salary applies to my 2 latest gigs: Method and Scanline,Male,No. I don't know of any relevant unions here.
£50k,Texture artist,mid,London,7,,Female,
110k CAD,Texture Artist,Senior ,Vancover ,5,Sony,Female,No
42 000,Texture Artist,Junior,Montreal,Less than 1 year,VFX company,Female,No
$60 USD/ hr with OT ,Texture Artist,Senior,North America,10,Global Studio - USA Location,Female,Inactive - Animation Guild 
36000 euro,Texture Artist,Mid,Ireland,2,Brown Bag Films,Male,
3900€/month,Texture Artist/TD,Mid to Senior,Germany,4,,Male,No
70000$ CAD,Texture Lookdev Artist,Intermediate,"Montreal, Canada",7,,Female,No
"CAD 100,000",Texture Painter,Senior,Vancouver,9,Sony,Male,
"1,400 €","Texture, Lighting Artist ",Junior,"Spain, Madrid",10 months,,Female,
91K,texture/lookDev artist,Senior,Montreal,9 ans,Big animation company,Female,No
62 000 CAD$,Textures/LookDev Artist,Mid,Montreal,5 years,Big Animation Studio,Male,No
39000 CAD,Texturing artist,Junior,Montreal,0,,Female,No
130/ Day (France),Toon Boom Harmony Rigger,Senior,France (Angoulême),5,,,
"1,800 €",ToonBoom 2d/cut-out Freelance Animator ,Mid - senior ,France,5,Lighthouse Studios ,Female,Yes
"£38,000",Toonboom Animator,Senior,UK (Not London),7,,Male,No
1k week,tv animator,,Ontario,5,,Male,
1025 USD weekly,TV Prod Coor,n/a,Los Angeles,4 years,Cartoon Network,Female,no
12000 mxn,Ui/ux Designer,Junior,México,4,,Female,No
96 000 usd,Unreal engine stage operator,Senior,Los Angeles,4,,Male,No
4200 z?/month,UX/UI Designer,Regular,Poland,7,game developement company,Female,No
Nada,Vago,Vago,La peor del mundo,Demasiados ,La de tu corazón bby,Male,
7000000.00,VFX,Middle,INDONESIA,6,SSE,Male,
40000 $can,vfx animator,Junior ,Montréal ,6 month ,Mpc episodic ,Female,
85000.00,VFX Animator,Senior,Toronto,11 years,,Male,No
80 000,vfx animator,Mid,Montreal,5,,Male,Nop
57 p/hour CAD ,VFX animator,Mid,Vancouver,14,,Female,
£25K/year,VFX Animator,Junior,London ,9 months ,MPC,Female,No
95 000 CAD/Yr,VFX Animator,Senior,Montreal,7,Cinesite,Female,No
"RM32,400/year",VFX artist,Junior,Malaysia,<1,,Female,
"40,000£",VFX artist ,Mid,London,3,,Female,
"60,000/Month",Vfx Compositor,Senior,India,6+,MPC,Male,No
98k,vfx compositor,senior,Montreal Canada,12,Folks,Female,wait there's vfx unions? 
20/hr,VFX Coordinator,Senior,Culver City,2,,Female,No
"$75,000 USD",VFX Coordinator,Mid-Senior,Los Angeles,"3 year VFX, 1 year Animation, 1 year Commercials",Freelancing for Netflix,Female,VFX is not unionized. 
34$CAD per hr,Vfx coordinator ,Sr,Vancouver ,4,,Female,No
45000.00,Vfx Coordinator ,Senior ,Dublin,6,,Female,No
42000 $Canadian / year (approx 2450$/month?),VFX Coordinator (currently for Animation and Crowd),Mid,Montréal,2+,,Female,No/A
70000.00,VFX Editor,Senior,Toronto ,5,,Female,
"18,000 €",Vfx prod coordinator,Junior,Spain,2,,Female,No
"125,000 CAD",VFX Producer,Mid,Montreal,11 in prod - 3 as a producer,,Female,No
"105,000 CAD",VFX Producer,Mid,Montreal,12,,Male,No
62k $CA,VFX Production Coordinator,Inter/senior,Montréal,2 years,,Female,
25/h CAD,VFX Production Coordinator,Junior,Vancouver,2,,Female,No
50k cad,vfx production coordinator,junior,MTL,1,Framestore,Non Binary,nope
24000€ year,Vfx Production Coordinator ,Senior,Spain,5,,Female,
£1750 per week,VFX supervisor,Senior,London,15 years,,Female,No
"$62,500 USD",Video Game Cinematic Animator ,Mid,Washington,4,,Female,No 
144k/ yr. 96k/yr take home,Virtual production/ motion capture artist,Lead,"Los Angeles, CA",15,,Female,NOPE!!!
75 per hour,vis dev,,Europe,7,,Female,
46/hr,vis dev,,LA,,,Female,
"100,000 cad",vis dev,,Canada,7,,Male,
75$ per hour,Vis Dev,Middle,EU,8,Netflix,Female,no
124000.00,Vis dev ,Regular,USA ,12,,Female,No 
125000 USD,vis dev artist,junior,LA,1,,Male,Yes - TAG
Rs 300000 (USD 3985) ,Visdev artist,Mid-level ,"Mumbai, India",5,Freelance,Female,No
$45/hr,Visual Development,Mid,LA,3,,Female,"Yes, IATSE"
"161,000 USD ",Visual Development ,Intermediate ,"Los Angeles, CA ","Less than 2 in feature, 3 in animation ",Netflix Animation ,Female,Animation Guild 
72000 USD,Visual Development ,Mid,SF Bay Area,"1,5",,Female,No
"$75,000 USD",Visual Development Artist,Junior ,Utah,4,,Female,
"$2,200/wk",Visual Development Artist,Standard,Toluca Lake,5,Nickelodeon,Male,"Yes, TAG"
$3210/week,Visual Development Artist,Middle,LA,7 years ,,Female,Animation Guild
$46/hr USD,Visual Development Artist,Senior,Los Angeles,5+ years,Dreamworks,Female,The Animation Guild Local 839 IATSE
550€ (630usd) day rate,Visual Development Artist,Mid,France (freelance for UK and US),5,,Male,no
"$141,289.00 USD before tax …",Visual development Artist,Middle,"Los Angeles, CA",7,Netflix Animation Studios,Female,839.00
95k CAD Salary (Gross),Visual Development Artist,Senior,Vancouver Canada,8.5 years,,Female,no
2500usd/week,Visual development artist ,Mid,Portland,15,,Female,No
65000.00,"Writer, Animation",Lead,Los Angeles,Three years,,Female,No
£250 per day,2D Animator ,Mid ,London ,44595,Freelance ,Female,No
1100/wk USD,Production Coordinator,Mid,Los Angeles,4,ShadowMachine,Female,No
1225 per week,Harmont animator (2d),Sr,Toronto,10+,,Male,No
"140,000 CND",Previs,Senior,Vancouver,10>,,Non Binary,no
1350/week,3D Layout Artist,Mid level,Toronto,4,Animation Studio,Female,No 
2600€/monthly,Compositor,Junior,Germany,2,Mackevision,Female,No
53/hr USD,Lead Look Development Artist,Lead,Los Angeles,12,Nickelodeon ,Female,Animation Guild
30000.00,3D Animator,Junior,"Dublin, Ireland",0,,Female,
130 000 CAD,CG Supervisor,-,Montreal,10,Big one,Male,No
"73,000 CAD",Rigging Artist,Mid,Toronto,4,,Male,
"48,000 CAD",3D Animator,Junior,"Vancouver, BC",< 1 yr,Mainframe Studios,Non Binary,No
"2,800 €",2D animator,“Animator stage 2”,Kilkenny ,7,Lighthouse studios,Male,No
Rs 25000,Lighting & Compositing,Mid,India,4,,Male,
"71,000 CAD",3D Animator,"Key Artist (High mid, low senior)",Montreal,5,MPC,Female,
USD $69/hr,Lighting Artist,"Senior, but not labeled ",LA,9,Major game studio,Female,No
"$170,000 usd",Art Director,Senior,"Seattle, WA",14,,Male,No
"$72,000 usd/ year",Rigger,Mid,Los Angeles,3,,Female,No
20.00/hr (us dollars) ,Production Coordinator ,Mid,Atlanta ,44595,,Female,No
40000 CAD/year,3D Animator,Junior,Montreal,1 and a half,MPC ,Male,No
85K CAD,Lighting artist,senior,Montreal,4,ReelFX,Non Binary,No
"$195,000 USD",Lighter/Compositor,Senior,LA,10,,Male,No
60000.00,CFX,Key Artist,Montreal,2,MPC Montreal,Male,no
1260000INR / P.a,3d animator ,Mid or Senior ,India,10years,,Male,No
R12980 per month before deductions ,Animator ,Junior,Cape Town ,1 year ,Storyground ,Female,
"30,000 INR per month (450 USD)",Texture Artist,junior,Mumbai,1,Startup,Male,No
660000 THB Gross salary (per annum),3D Animation,Senior,"Bangkok, Thailand",07 years,Riff Animation Studio,Male,No
"£47,500",3D Animator,Lead,London,6,Blue Zoo Animation,Male,No
"80,000 CAD",3D Animator ,Mid,Montréal ,6,Mikros,Male,No
34000.00,FX TD,Junior,London,0,,Male,
"60.000,00€",Lead Animator,Lead,Germany,13,,Male,no
700 €,Motion Graphic Designer and VFX,Junior,Portugal,6 months,,Male,no
42500.00,Lookdev artist,Mid,London,4,Blue Zoo,Female,
30$/hr,3D Animator,Mid,San Francisco Bay Area,5,2K (Visual Concepts),Other,No
"$45,000 CAD",2D animator,Intermediate ,"Montreal, Quebec",3,,Female,
$24.64/hr,Production Coordinator,n/a,"Burbank, CA",3 years ,Disney Animation ,Female,No
$1250 per week,2D Background Designer,Mid,Australia,3,Flying Bark,Female,No
2500.00 A WEEK/ US DOLLAR,COLOUR SUPERVISOR,SENIOR,"LOS ANGELES, CA USA",8 years,Atomic Cartoons ,Female,"yes, Animation Guild 839"
4000.00,3D modeler,junior,Bangladesh,3 years,,Male,no
60k NZD,FX artist,Junior,New Zealand,3,,Male,No
"£30,000",Production Coordinator,Mid,Bristol,3,,Female,No
95k/yr (CAD),3D Character Animator,Lead,Montreal,15+,,Male,no
576000 INR,Matchmove artist,Mid,India,3,Technicolor,Female,no
CAD $67600 ($1300 per week),2D Animator,Senior,"Toronto, Ontario",2,Jam Filled,Female,No
73250$ CAN ,Production manager VFX,Mid,Montreal,3,Crafty Apes VFX,Female,No
40 000 GBP,3D Animator (VFX),Mid,LDN,7,FS,Male,
"92,000/year CAD",3D Animator,Intermediate,"Montreal, Canada",10,,Female,No
$2300 USD / week,2D Technical Director,Mid-level,Los Angeles,7,Netflix Animation,Female,Yes
$CAD 1100 weekly,2D Animator,Mid,Vancouver,7,Atomic Studio,Female,no
156000 usd / year,Animation lead,Lead,Australia,13,,Male,No
$300 AUD a day,3d Rigger,Mid? No official title,Australia,3,Freelance,Non Binary,God I wish
"£30,000",Motion Graphics Designer,Mid,London,5,,Female,no
33000.00,3D Animator,Senior,Spain,6,,Female,
80K USD,3D Asset Artist,Senior,Florida,10,,Male,No
1000 Doll,2D Animator ,Senior,Colombia,10,,Male,
$50/hr USD,2D (Harmony) Animator,Junior,USA (Los Angeles CA),2,Bento Box (Non-Union Freelance),Female,TAG 839
8.5/hour,Roto artist,Junior,Prague,1,,Female,
24.00 €,Visual Development Artist,Mid,Spain,3,Ánima Studios,Female,No
59.40 USD,Storyboard Artist (Television),n/a,USA,2,Warner Bros,Female,Yes
"30,000 USD",Roto Paint Artist,Junior,Boston,2,Zero VFX,Male,No
"£78,000",Art Director,Senior,London,8,,Female,No
£400 per week (Before Tax),2D Animator,Junior,Northern Ireland,1,,Male,No
€2200/month,Clean animation artist,Junior,Ireland,1 yr 3 months,Cartoon Saloon,Female,
$984.87/wk,Production Manager,Mid,"Burbank, CA",10,Warner Bros. Animation,Female,No
850$/w,2D Animator,Junior,Toronto,4 Years of college and a year of industry work.,,Male,
55000 CAD,Compositor,Junior,Toronto,1+,Soho,Male,
130000.00,3D Lead,Senior,NYC,8,a popular cg commercial/design company,Male,
63000 AUD,Animator (After Effects) ,Senior,"Brisbane, Australia",3,,Male,no
2200cad per month,Teaching Assistant,Junior,"Vancouver, BC",1,,Female,
£32k per annum,Lighting Artist,Junior/Mid,London,2,,Female,No
"£55,600",Technical Animator,Mid level,London,7,,Male,IWGB
22000€ annual,Technical Director,Junior,Madrid,3,Skydance Animation Madrid,Male,No
"39,000 USD",Gameplay Animator,Junior,"Baton Rouge, Louisiana, USA",1,Pixel Dash,Male,No
"56,000£",Background Supervisor,Senior/Lead,London,7,,Female,
320 a day (freelance rate),Art Director,SENIOR,London,9,,Female,
"45,000£",2D Art Director,senior,london,7,,Female,
$20/hr,storyboard artist,entry level,"Burbank, CA",1,Stoopid Buddy Stoodios,Male,no
"£39,000 p/y (£750 per week)",2D Digital Cut-out Animator,Senior,Northern Ireland,16,,Male,No
$1000 AUD  (Gross Income p/w),2D animator,Junior,Australia,1,Rather not say,Female,Unsure 
55k £ per year ,3D animator,Mid,London,5,DNEG,Male,no
32 cad/hr,background painter,N/A,Toronto,1 year,,Female,no
100k,CG Genaralist,Mid,USA,4,Buck,Male,No
$950 U.S. weekly,3D Animator,Junior,USA (midwest - remote),1st gig in 2021,DreamView (now Infinteworld),Male,No
"$74,000 CAD",Production Manager,mid,Vancouver,7,,Male,No
"£48,000",Lighting and Compositing Artist,Senior,London,12,Blue Zoo Animation,Male,no
"£39,600",3D Animator,Mid,London,4,MPC,Male,
"30,000£",CFX Artist,Junior,London,0,Framestore,Female,
"$40,000 USD",Animation and VFX Artist,Junior,"Tennessee, US",1,,Female,nope
59000.00,Animator,Mid,London,44564,,Male,Yes
105000 CAD,Producer (Associate) ,Mid,Toronto,4,,Female,No
1200 PEN (320 USD),Storyboard Artist,Intern (Junior?),Peru,0 ???,,Male,What is even a Union
£26k,Facecap Artist ,Junior,London,0 (fresh out of uni),Industrial Light & Magic,Male,N/A
"USD 70,000",3D Generalist ,Advanced,"Dallas,TX",6 years,,Male,No
"$137,000 per year",Character Animator (3D),Senior,Los Angeles ,10,Disney Owned,Male,No
35000INR,GROOM ARTIST,MID,INDIA,3,MPC,Male,NO
63000 INR ,3d Animator ,Mid ,India,7,,Female,
57k CAD,Production Coordinator,Mid/Senior,Montreal,3,Dneg,Female,no
90k cad,rigger,senior,montreal,8,,Female,no
30cad,Compositor,Mid,Toronto,4,,Female,
72000 CAD,Lighting TD,Mid,Montreal,4,,Female,nope
"108,160 CAD",CG Generalist - Lighting,Mid,Vancouver,5,Zoic,Female,No
"90,000K CAD",3D Lighting Artist,Mid,Vancouver,"4.5 as a lighter, 7 in the industry",DNEG VFX,Female,No
"77,000 usd ",FX Artist ,Mid ,"Colorado, USA",4,Lockheed Martin Space ,Female,No
"85,000 CAD",3D Lighting Artist,Mid,Vancouver,4,Dneg,Female,Lol no
166000.00,KFC manager,Lead,Canada,2,,Male,no
200000.00,Male Stripper,New and Nude,United States,2 months,Private at home consultations or zoom calls,Male,
90k CAD,2D Layout,mid,Vancouver BC,5,DNEG,Female,no
70k CAD,3D layout,junior,Vancouver BC,3,SPI,Female,no
55k CAD,3D Layout,junior,Vancouver BC,college grad,SPI,Female,
3300 SGD,Rigging TD,Junior,Singapore,3,One Animation,Male,No
"$168,000 USD",3D Artist (3D Generalist),Mid level Contractor,SF bay area,11+,Facebook or Meta (whatever),Female,I wish
£38K ,Project Coordinator ,Mid,London,4,,Female,No
2200 USD/ a week,2D animator,Just 2D animator,Los Angeles,4,,Male,TAG 839
"$4,200 USD Weekly",CG Supervisor,Junior,"Burbank, CA",14 Years,,Female,Yes
55k/year,3D Environment Generalist / DMP,Junior,Montreal,"Less 1 yr in industry, post education",DNEG,Female,No
$30/hr or $1200/wk before taxes. OT available after 40 hrs/wk.,stop motion animator,intermediate,los angeles,3,Stoopid Buddy,Female,no
90K/years _ CAD,3D artist / unreal TD,senior,montreal,5,,Male,no
600-800 USD per MONTH,Background Painter,Senior,Philippines,7 years,Snipple Animation Studios,Female,No
1650/week USD,Production Manager,Mid,"Los Angeles, CA",9,20th Television Animation,Female,
$46/hour,Lighting and Compositing Artist,Senior,Los Angeles,13,,Male,"Animation Guild, IATSE 839"
"$150,000 USD",FX Artist,Senior,Los Angeles,10,,Male,No
$700/day,2D and 3D animator and designer,senior,USA,12,,Male,no
82000 AUD per year, CFX Artist,Senior,Australia,5,,Female,
80000 AUD per year,Tracking and Matchmove ,Senior,AUSTRALIA ,5,,Female,
$800 USD / Day,Motion Graphics Designer,Senior,NY (but remote),10,,Male,No
$950.00 per week.,Script Coordinator,Junior,Los Angeles,4,Nickelodeon Animation,Female,No
"65,000 CAD",Previs Artist,Mid,Vancouver,2,Bron Animation,Female,no
"65,000 CAD",Layout Artist,Mid,Vancouver,4,Mainframe,Female,no
"78,000 CAD",Layout Lead,Lead,Vancouver,5,Mainframe,Female,no
"82,000 CAD",Layour Supe,Junior,Vancouver,5,Mainframe,Female,no
$15 usd hr,previs artist,junior,LA,2,The Third Floor,Male,no
$37 usd hr,previs animator,mid,LA,3,DD,Male,no
"93,000 usd",previs animator,senior,PNW,5,,Male,no
"80,000 USD",Previs Artist,N/A,USA,5,,Female,no
"18,000 €",3D Animator,Mid,Valencia,1,Hampa Studio,Male,No
27500€ year,3D Animator,Mid,Canary Islands / Spain,3,,Male,No
$83/year,3D Animator,Mid,Toronto,3,DNEG,Female,No
78/year CAD,3D Animator,High mid level,Vancouver ,3,ICON,Non Binary,No
"$650/day (CAD or USD, depending on client) ",Animator & Designer ,Mid,Canada,2,Freelance,Male,No
600-800 usd/day,2D/3D mograph,senior,Netherlands,5,,Male,no
$20 USD/hour,Production Assistant,Entry,California,Less than 1,Netflix Animation,Female,No
350-400€/ day gross,2D Background Artist,Mid,Italy/remote,4,,Male,
